type,x,y,z,vx,vy,vz,K,rlin,rho_radial,constants
particle,1.1791150384744339e10,-2.738265048040913e10,-3.2610321577010212e10,0.0,0.0,0.0,4.050696004999757e14,,,
particle,-1.6589880256662544e10,-1.1158864153711033e10,-1.916863260470831e10,0.0,0.0,0.0,4.050696004999757e14,,,
particle,7.7947635637400465e9,2.843053362472804e9,1.4561204192995409e10,0.0,0.0,0.0,4.050696004999757e14,,,
particle,-5.036666460955298e9,-1.9629560453515812e10,1.8029351716543518e10,0.0,0.0,0.0,4.050696004999757e14,,,
particle,2.3157728432155563e10,7.522227554243881e9,6.635856267873131e8,0.0,0.0,0.0,4.050696004999757e14,,,
particle,-1.8280393692259876e10,-7.704904477606277e9,2.0414421942211747e9,0.0,0.0,0.0,4.050696004999757e14,,,
particle,-3.4469256891648705e10,6.110085067508814e9,9.284909089716423e9,0.0,0.0,0.0,4.050696004999757e14,,,
particle,1.8587345766962215e10,-7.96049111746963e9,2.5459822916587185e10,0.0,0.0,0.0,4.050696004999757e14,,,
particle,-1.65641541386191e10,9.225198308611635e9,-5.232004527285508e9,0.0,0.0,0.0,4.050696004999757e14,,,
particle,-8.423989135422192e9,-7.124155278929249e9,-8.082760432840717e9,0.0,0.0,0.0,4.050696004999757e14,,,
particle,2.3796346462829823e10,-8.1758105271539135e9,-9.700408751053707e9,0.0,0.0,0.0,4.050696004999757e14,,,
particle,-2.341275279451033e10,-2.1095198363822968e10,4.362808601439692e9,0.0,0.0,0.0,4.050696004999757e14,,,
particle,-1.036027684630217e10,-2.3181766128438106e9,1.075767528937399e10,0.0,0.0,0.0,4.050696004999757e14,,,
particle,1.1574892626278796e9,2.063472806356276e10,-1.31992907778971e9,0.0,0.0,0.0,4.050696004999757e14,,,
particle,-4.64813947322373e9,-5.188484080625429e9,1.6937609782135324e10,0.0,0.0,0.0,4.050696004999757e14,,,
particle,3.6745730073310266e9,-5.371588105716336e9,-9.950686567158987e9,0.0,0.0,0.0,4.050696004999757e14,,,
particle,7.842315842408708e9,-5.199955914632685e9,-3.323951381656426e9,0.0,0.0,0.0,4.050696004999757e14,,,
particle,1.0907364369246962e10,-6.338999392229023e9,1.3983150430586174e10,0.0,0.0,0.0,4.050696004999757e14,,,
particle,1.2403922116490114e10,3.412709422022836e9,-1.5885824258626139e10,0.0,0.0,0.0,4.050696004999757e14,,,
particle,-8.825323674788904e9,2.264002897091363e10,-6.186615377252544e9,0.0,0.0,0.0,4.050696004999757e14,,,
particle,1.3960538697559765e10,1.7217619388137253e10,8.158413748124533e8,0.0,0.0,0.0,4.050696004999757e14,,,
particle,1.8894984491712727e10,2.3463156345708346e8,-9.312557377986603e9,0.0,0.0,0.0,4.050696004999757e14,,,
particle,2.2672626377591805e9,1.1820016491264775e9,-1.2196571882443457e10,0.0,0.0,0.0,4.050696004999757e14,,,
particle,-7.675664554189305e9,9.480121845230429e9,2.6272100171217003e9,0.0,0.0,0.0,4.050696004999757e14,,,
particle,-3.028951044711987e9,-8.05365793408967e9,5.926637924339078e9,0.0,0.0,0.0,4.050696004999757e14,,,
particle,-1.0981357338951597e10,-1.1700500658111984e10,-2.1416063393546146e10,0.0,0.0,0.0,4.050696004999757e14,,,
particle,1.2987157009744059e10,5.888167093391088e8,-1.3987560838321328e9,0.0,0.0,0.0,4.050696004999757e14,,,
particle,5.282594679166501e9,6.842148669093066e9,-1.1628065295417248e10,0.0,0.0,0.0,4.050696004999757e14,,,
particle,-1.0687446019637938e10,-2.0310281119539056e9,-2.3037777332990274e9,0.0,0.0,0.0,4.050696004999757e14,,,
particle,1.2566512272066103e10,1.9408361413939278e10,1.0360384482096956e10,0.0,0.0,0.0,4.050696004999757e14,,,
particle,1.1848019624962835e9,-6.981995414049694e9,1.5632656244499815e10,0.0,0.0,0.0,4.050696004999757e14,,,
particle,-1.2308838672809597e10,-3.4656070427955365e9,-1.9897170982638477e10,0.0,0.0,0.0,4.050696004999757e14,,,
particle,3.1345758429010267e9,-1.1145871354009564e9,1.5625016779853426e10,0.0,0.0,0.0,4.050696004999757e14,,,
particle,9.602127221872099e9,-3.8997387503681507e9,1.5501259613655409e10,0.0,0.0,0.0,4.050696004999757e14,,,
particle,5.542917118735493e9,-6.092872370135614e9,-1.5600896859057283e6,0.0,0.0,0.0,4.050696004999757e14,,,
particle,6.068806474394018e9,-1.3486034335006279e10,-1.634957169230537e10,0.0,0.0,0.0,4.050696004999757e14,,,
particle,4.082334963421186e10,8.80610120755337e9,1.4862002478871849e9,0.0,0.0,0.0,4.050696004999757e14,,,
particle,2.186650129218275e10,3.178831614217796e9,-1.2792008413352294e9,0.0,0.0,0.0,4.050696004999757e14,,,
particle,-6.92281275669762e8,4.422486081944486e9,2.044506606733135e9,0.0,0.0,0.0,4.050696004999757e14,,,
particle,1.4564014798048895e10,1.8654856783100574e10,-9.929293019983498e9,0.0,0.0,0.0,4.050696004999757e14,,,
