type,x,y,z,vx,vy,vz,K,rlin,rho_radial,constants
particle,-2.1892174725142242e15,2.47410210250462e16,7.420203231772993e15,-28180.682810416783,32192.07161644659,-37099.482484473505,,,,
particle,2.6769810553660115e15,-6.643627346153259e15,6.737972325243441e15,-3181.444208380235,471.7460674117277,4109.62834717923,,,,
particle,-7.473737862495165e16,1.216449866365999e16,4.284467654804037e16,27250.31150364476,17172.511750261172,8722.243678772962,,,,
particle,-1.5067857635263615e15,2.7816750366807484e14,3.776895241577424e14,-7080.663687116156,-23729.00058988766,15954.628923595928,,,,
particle,5.197339271087989e15,2.7839563054667996e16,4.079146842572268e16,19826.776643198973,-10238.460445257779,-19676.489880618872,,,,
particle,-1.3684873487431296e16,1.226272479496033e16,-8.596036172762431e15,11592.756351578098,-26877.670695254088,9661.086988507024,,,,
particle,-3.79848715410553e16,4.960177425899666e16,3.3077348260671336e16,-15005.507385338402,-24205.890786357126,6057.5216833505065,,,,
particle,3.959835421561545e15,-1.779445917854775e15,-2.4649123167595305e15,22494.840766843583,-26125.14233893472,-33515.56087598674,,,,
particle,1.02053063819713e15,-1.4683338265012964e16,-6.011010957313383e15,-7142.256954299194,23744.920817517268,-5599.6770312648305,,,,
particle,-7.321045015353228e15,1.8313368910829716e16,7.167495864652078e14,23298.359805406355,-15950.49415761929,-24444.417665753153,,,,
particle,-6.450438818345768e15,-2.425108832709269e15,-1.91358158223194e15,-17813.39579970787,21439.597374542984,1142.4052264983302,,,,
particle,1.5415354187372132e16,-4.189509896917053e15,-3.476064579543051e16,-7878.07166328325,-16035.59469908883,-60830.70786975339,,,,
particle,1.5570196447020926e16,-1.5271477751686938e16,-2.835586889111329e16,2792.3187122799977,-19270.454008622262,5060.757995701664,,,,
particle,-3.447078645838543e15,-2.666857287467831e15,1.5539981517321018e16,-28403.17748040765,-25165.950223568663,-178.6200090342545,,,,
