type,x,y,z,vx,vy,vz,K,rlin,rho_radial,constants
particle,2.786364754615413e16,-1.0698031919383998e16,-4.866974317653288e15,-2349.3883550485384,-2971.3619894983735,-9135.094009566632,2.5508708162346156e20,,,
particle,4.375842228306026e16,3.734238901499106e16,-7.197333371331433e16,7543.067260860243,-11281.024927302306,-1222.9797255408296,2.5508708162346156e20,,,
particle,2.4445585490691736e16,3.6264031082536824e16,-9.256402655583472e15,-4195.674319675828,-8589.385110090394,-5255.897202420219,2.5508708162346156e20,,,
particle,-4.322091594061338e16,3.4713656224318916e16,3.00364345746903e16,-11529.449338030217,4351.631958951978,-320.4553961733953,2.5508708162346156e20,,,
particle,-3.3896931793076624e16,-5.000556752622611e16,3.4190336486364905e15,4571.323429542508,26.854677830479122,166.8720418981821,2.5508708162346156e20,,,
particle,-1.646004307982019e16,-3.2954303408596595e15,-9.035252582371838e16,-10775.650123935124,4610.135656814631,4521.478063890472,2.5508708162346156e20,,,
particle,3.307005748502111e15,-6.537834410029857e16,2.1652467851307944e16,-1131.4492682289583,-106.95007751819448,-1892.0159687275473,2.5508708162346156e20,,,
particle,-2.2036118717306296e16,-3.965264799893823e16,-1.4190456263092758e16,2740.032947230926,5460.091619993451,-38.46115217579869,2.5508708162346156e20,,,
particle,7.726604694420688e16,-3.885511266859724e16,1.3714853328631886e16,-7987.02059876289,2785.405308067989,6122.377685117712,2.5508708162346156e20,,,
particle,-3.8364273139591496e16,-7.36913951209968e16,4.781972864709731e16,1770.9905032117747,-21156.16500470774,4523.7908005984655,2.5508708162346156e20,,,
particle,3.527690074178015e16,-1.7108360840707678e15,4.593341085443219e16,-2451.9017120012713,-4167.430489677386,18197.69314359127,2.5508708162346156e20,,,
particle,-7.206673754692382e16,5.869291816051298e15,-8.03304762954881e15,-5645.983573880458,5196.4294227969895,1305.8877485313478,2.5508708162346156e20,,,
particle,5.543049612818692e16,2.567252276647121e16,-4.749127523887539e16,17.65302924750815,-1973.3651337331792,6454.824757310833,2.5508708162346156e20,,,
particle,-3.8748025233642056e16,1.042642809053166e16,2.581649192142565e16,4807.276049421728,1193.319471333744,-3704.044949672874,2.5508708162346156e20,,,
particle,3.3369020105734148e16,-4.715817817393966e16,-2.9126495479660548e16,146.0977692001562,-2636.619700114642,2857.5530678785453,2.5508708162346156e20,,,
particle,7.485333164446059e16,4.011056916353854e16,4.291740767561504e16,6419.414733450556,9356.6136018177,-573.24978003856,2.5508708162346156e20,,,
particle,4.218837786303412e16,-8.603496044531251e16,2.6592569559549596e16,-1186.4672518760922,-1612.6642071455735,-31878.760513383397,2.5508708162346156e20,,,
particle,5.842589456563733e16,1.887497069933567e16,-3.1962731736239252e16,-7405.032740813656,-15058.780643774133,3336.5409065295225,2.5508708162346156e20,,,
particle,-8.91092169679346e16,4.358731132661645e16,1.256140055221911e16,14070.416314866476,9060.903469793602,-7159.214974907183,2.5508708162346156e20,,,
particle,-4.322236578467899e16,6.986574979975572e15,7.22882126386484e16,12565.799346431337,-1171.7634508688725,-3233.9201156416807,2.5508708162346156e20,,,
particle,-7.954847169320423e15,-8.260287763339814e16,-1.1200145423940158e16,15860.692646704236,-2704.9177770098563,-17012.84233442296,2.5508708162346156e20,,,
particle,-3.90363248019547e16,2.6845807678751864e16,3.069736453656916e16,2392.990101815669,323.5450496268163,5796.088438685351,2.5508708162346156e20,,,
particle,-4.2330747488447805e15,-6.797582923082262e16,6.4409473505236584e16,-3244.028548891061,2732.113767194228,-2505.091321644373,2.5508708162346156e20,,,
particle,3.09340290759392e16,-4.56923586149535e16,-3.0993246372443416e16,-1615.933852778337,1038.3400891065737,-2079.01711920106,2.5508708162346156e20,,,
particle,2.020627170300102e16,-3.471252756984741e16,-5.163010087669621e16,1544.0555890052879,-3609.4164161027957,-1431.8316382125208,2.5508708162346156e20,,,
particle,-3.915563798892472e16,-3.028148931463675e16,1.3119454373922286e16,12267.435459664386,-16115.916723080052,14458.711134897285,2.5508708162346156e20,,,
particle,4.454037793615015e16,-1.5828289608439884e16,1.0543892539867232e16,-7905.306810637855,1381.378982717521,-6437.345986905776,2.5508708162346156e20,,,
particle,2.7584600053067756e16,-2.1847630727620264e16,5.320619296366866e16,-6130.318596475264,-5496.359884953068,4247.705453213221,2.5508708162346156e20,,,
particle,-2.559773545743224e16,-5.509332721222326e16,3.7333002757653624e16,-5689.687412461767,-8165.190193207036,3336.222651968141,2.5508708162346156e20,,,
particle,-6.204327679606112e16,-7.026552285433894e16,9.84910395626726e15,16536.108197969384,13810.92899077049,-174.74976040029603,2.5508708162346156e20,,,
particle,-1.3119683954680896e16,-5.874327790651216e16,-3.443656213241137e15,6021.902558647649,-3844.1764199019685,-5655.42715230372,2.5508708162346156e20,,,
particle,4.76369617786504e16,6.8773426294029336e16,-4.618496284307875e16,-27727.58598984956,27545.424794170525,12472.080641295706,2.5508708162346156e20,,,
particle,3.899137555109586e16,7.918598472931179e16,3.1151434677750316e16,67.5063649852935,-6140.039482226012,1021.4879904081915,2.5508708162346156e20,,,
particle,2.033897131057268e16,4.4212139879889825e15,-7.684007598764581e16,-8127.072121235974,-3350.7506417200484,-7365.355610040637,2.5508708162346156e20,,,
particle,8.780860945859683e16,-1.0930568818444748e16,5.5661509251489624e16,-15222.953327759795,215.56418381991162,45654.85550000595,2.5508708162346156e20,,,
particle,8.233756785422873e15,4.380187528918626e16,5.195645981680693e16,1065.8560390741488,2506.501214600716,-4793.550108110515,2.5508708162346156e20,,,
particle,-2.493559149056404e16,-1.8076558790605268e16,-5.647392023285587e16,7093.397650723382,-2727.0699798172413,-3590.963867050347,2.5508708162346156e20,,,
particle,-4.883774526313205e15,-2.19110235260163e16,4.660746414127289e16,198.92077121296376,8329.067840081112,-3362.7739065005494,2.5508708162346156e20,,,
particle,4.9426531865274136e16,5.865243133740531e16,-8.626231693586411e15,-25466.737742975823,-1417.9241115738414,-722.5532715442345,2.5508708162346156e20,,,
particle,8.81291817200341e16,3.529961717057875e16,-3.1096102881752485e15,-10282.391744519775,-11419.992316727954,-13254.466510811451,2.5508708162346156e20,,,
particle,7.247206219570558e16,-6.412381862710455e16,-1.5277672828032448e16,152.19801972699233,-15902.877066838979,-8380.124400854258,2.5508708162346156e20,,,
particle,1.0952130682196044e16,-7.129700027501565e16,-6.104105507899449e16,18387.951782508295,-11807.275960585584,9226.53686666682,2.5508708162346156e20,,,
particle,2.6549505688428176e16,5.815480040309938e16,-6.104740497321749e16,-14199.99390236536,-352.6298792316243,8574.144914687977,2.5508708162346156e20,,,
particle,-3.4088140726925776e16,1.1020916760777386e16,-1.857155939408469e16,-504.26053471629217,-9907.586464632048,4519.621179253443,2.5508708162346156e20,,,
particle,-3.502791604200456e16,5.308192872356044e15,-7.748893391721808e16,-3170.9337944316467,-1760.8591218649287,6702.041479387586,2.5508708162346156e20,,,
particle,2.406293230747476e16,1.403133914812439e16,9.627423321742667e16,41.56921000909922,2789.773192320042,-195.03249323222127,2.5508708162346156e20,,,
particle,4.158792462656524e15,-8.374084099859354e16,2.741055993666193e16,-2607.3183363094386,2357.3113207535994,2542.2594712965424,2.5508708162346156e20,,,
particle,1.6883466778886238e16,1.7773517061984924e16,7.186853332097315e16,-2078.197779774515,4181.321614697703,7441.445664265802,2.5508708162346156e20,,,
particle,1.8763826625414264e16,1.0032631782080284e16,-1.3416258264206422e16,-11037.370531531225,3013.3695802911716,1965.7635246093864,2.5508708162346156e20,,,
particle,8.79195792284921e16,2.620757458017161e16,-4.608154888657502e16,-4124.174774600157,26229.16038581258,-765.5493842310211,2.5508708162346156e20,,,
particle,-3.992106850172701e15,-1.9168621046144948e16,-1.003148595264342e17,-5751.133481397537,3470.7889156268975,261.5986302650434,2.5508708162346156e20,,,
particle,-2.7337035573911404e16,-9.360675812762694e16,-3.8547046924804744e16,-4598.681308511273,-15566.34140897844,17364.594492220127,2.5508708162346156e20,,,
particle,1.860576544695176e15,4.540362503998877e16,2.4036284729365536e16,733.7019138954931,-2769.3384421292308,-2330.866270476474,2.5508708162346156e20,,,
particle,-7.808673180693194e14,4.578930039035508e16,-2.6808458463027276e16,15692.848939133375,-3804.101467637665,897.4903603619913,2.5508708162346156e20,,,
particle,-5.390985439516375e16,-1.843559239496479e16,-6.7674375125340824e16,-17282.745957850548,2849.398852250939,28959.804092898477,2.5508708162346156e20,,,
particle,-1.123867883198968e16,-4.460380290935081e16,4.695175657513821e16,7936.399256728915,-4596.6902255133755,5890.858306905908,2.5508708162346156e20,,,
