type,x,y,z,vx,vy,vz,K,rlin,rho_radial,constants
particle,-1.9568702225571888e15,-8.78081982319996e15,2.1998666179472475e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,1.3557366676432278e15,-5.278249044706261e15,3.0235751679063895e15,0.0,0.0,0.0,3.379048466644417e18,,,
particle,-1.6963750925988178e15,5.86014078122942e14,-6.767017307460137e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-1.6762570937513825e15,5.844631681940445e13,3.440250862091254e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,4.396239192284416e15,2.299659228748002e15,-7.403430003154451e14,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,2.5674857050300505e15,3.147557781217458e15,4.587441679543587e14,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,-4.629155632284355e15,-8.442336966525144e15,1.3618653155261658e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-7.912886026792396e15,-5.79442873613638e15,-3.8151120020236055e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-1.1386799729634316e16,4.9994178768981e15,1.642388735095983e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,2.3578716579456303e14,-3.207901577155699e15,-4.608703064516977e15,0.0,0.0,0.0,3.379048466644417e18,,,
particle,-4.444858539972548e15,7.96242025987573e13,-1.0702887195147966e16,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,4.525393513094688e15,-2.7319554977113505e15,-3.4615173837366175e14,0.0,0.0,0.0,3.379048466644417e18,,,
particle,2.336702533337147e15,6.070724054901038e15,-7.988566662163569e15,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,-2.1296505196259672e15,6.92754039646046e15,5.696822594116785e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,2.785020468084843e15,3.6905712169950285e15,-5.670133872954068e15,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,7.794058147625494e15,5.717882497367599e15,-6.96860222525792e15,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,-5.012733235239375e14,3.3723599337167235e15,1.2164212086520495e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-6.853539380497264e15,3.8086884028846095e15,-6.959644610534942e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-1.673518403006519e15,-2.2621515245904775e15,1.842785641140762e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-5.20139354741568e14,-2.559824441295545e15,8.419542965519759e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-7.447159405516098e15,-5.154528900301235e15,-4.2473605088711905e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-7.876041455292056e15,-2.997422194471468e14,5.461974146596228e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,7.006412680430416e15,-2.913333093877367e15,2.6441140642493656e14,0.0,0.0,0.0,3.379048466644417e18,,,
particle,1.220510244401773e16,-4.607041636586106e15,5.818317816422021e14,0.0,0.0,0.0,3.379048466644417e18,,,
particle,8.145022563032514e15,-5.335588825844674e15,-2.1925028624688548e15,0.0,0.0,0.0,3.379048466644417e18,,,
particle,3.494391696703049e15,6.381527783085998e15,4.3543584698038505e15,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,4.846671147859883e15,6.979770509845483e15,-1.3548226632083933e14,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,1.5303390776014068e15,-1.2833425325255975e15,1.0528823387342798e16,0.0,0.0,0.0,3.379048466644417e18,,,
particle,5.943400634474047e15,-6.559634819051311e15,1.4054357171430585e15,0.0,0.0,0.0,3.379048466644417e18,,,
particle,3.5753559972280505e15,-1.0420867991038972e16,8.654055039189765e15,0.0,0.0,0.0,3.379048466644417e18,,,
particle,9.223821198459959e14,1.0101834203263256e16,5.269276011952078e15,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,6.031346211742599e15,-4.21765385358743e14,2.4585893276580385e15,0.0,0.0,0.0,3.379048466644417e18,,,
particle,1.034426603066275e16,-3.201091993761401e15,-1.8524455965684925e14,0.0,0.0,0.0,3.379048466644417e18,,,
particle,4.311913182356095e15,2.1960568311292308e15,-3.9220611307581805e15,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,-2.0767173289612225e15,2.1780822826470032e15,-2.383168994919645e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-2.368149721960418e15,3.438096571615353e15,4.850161227418439e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,3.392248830994798e15,-1.4588437493986662e16,1.7277479647117108e15,0.0,0.0,0.0,3.379048466644417e18,,,
particle,-3.7489811397581475e14,-2.9276610367636315e15,-1.3562352957104018e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-4.194848745226091e15,3.979933201177162e15,4.486895503807103e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-4.732485537136542e15,3.9212864177105985e15,1.4659969908113192e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,1.31435169724617e15,2.064426145519357e15,3.4631806390863795e15,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,1.7361470004719848e15,-9.35114275029294e15,-2.979317146372001e14,0.0,0.0,0.0,3.379048466644417e18,,,
particle,1.0992396887203632e16,-1.162991648007697e16,1.4611149984721925e15,0.0,0.0,0.0,3.379048466644417e18,,,
particle,-8.898735284013892e14,-4.848207387251832e15,-4.365498349719455e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-9.207060850631235e14,-7.666618527080532e15,-2.202226665846058e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-4.3898222532334745e15,-5.503136949805342e15,-8.281913977138011e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-4.849907817484255e15,-1.911514703360151e15,4.3973086072854395e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-1.0394445998164218e15,1.8005121730920545e15,-2.9244674092780755e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-5.37676759084316e15,-7.117346452525512e15,-3.3006206207029015e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-8.299427604670415e15,2.862614574766649e14,2.1942280407867678e14,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-3.3374362782867025e15,-6.245862118073388e15,7.997559387596818e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,3.423602611886025e15,-1.576731706288903e15,5.331725017297041e15,0.0,0.0,0.0,3.379048466644417e18,,,
particle,-2.5776343511497105e15,-1.4653792107192984e14,7.291608386030591e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,5.35695683135678e15,5.253549696708942e15,1.9488916547884042e15,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,1.7790281065311382e15,5.444082799866409e15,4.108945029623206e14,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,2.0329760632374955e15,-1.9000692689955702e15,2.2239389606565306e14,0.0,0.0,0.0,3.379048466644417e18,,,
particle,-9.334099827089614e15,-1.228639933971758e15,2.1275003900791252e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-4.886667398931826e15,-3.730417183143871e15,-5.35634323464253e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,7.060514660219059e15,1.1072325209944942e16,-3.8208754025538805e15,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,1.2898943835452834e14,-5.222211329967487e15,-8.409029140159431e15,0.0,0.0,0.0,3.379048466644417e18,,,
particle,6.598865992187015e15,-1.7435502102853925e15,-8.726305692026408e15,0.0,0.0,0.0,3.379048466644417e18,,,
particle,7.024725635863693e15,3.0810509304762445e15,1.3515917329109192e15,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,-2.3697231743218415e15,-6.743770692532175e15,7.078514731601038e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-9.585924233300444e15,3.307587113341909e15,2.769162420233857e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,5.161205622910022e15,2.1607867348626148e15,-1.148755940371271e15,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,-6.318578368340033e15,-5.625522588076318e15,1.2536023777713112e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,2.9164895680733045e15,-1.1717139770881375e14,-9.943658903576482e15,0.0,0.0,0.0,3.379048466644417e18,,,
particle,-1.1444912872974306e16,-2.6856601705092166e14,-1.111350613670039e16,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-2.644370599737508e15,1.3422009982804865e13,-5.294955065469674e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-2.9315960655978715e15,8.181869249386197e15,-2.0983275763412618e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-5.660370480459573e15,-3.880606282153844e14,-2.866251956685723e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,6.451639846011306e15,-7.549980802428762e13,3.583862713394211e15,0.0,0.0,0.0,3.379048466644417e18,,,
particle,5.008560048407077e15,-3.346678686823761e15,-4.256842719038833e15,0.0,0.0,0.0,3.379048466644417e18,,,
particle,-1.7249682451884503e14,1.97605983235761e15,2.1892212012066032e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-4.801615195806224e15,5.810158917321876e15,-1.0445060644124322e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,4.926560980640465e15,-2.3745470034055465e15,-7.474172093395595e15,0.0,0.0,0.0,3.379048466644417e18,,,
particle,-8.593218082273196e15,2.519214735485902e15,4.516950802311354e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-2.445288201504284e15,-9.516370763120132e14,7.214254465068134e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,2.420868428133357e14,-1.1766223289531152e16,-7.060347903496456e14,0.0,0.0,0.0,3.379048466644417e18,,,
particle,-4.266860942684097e15,3.6349672618082995e15,1.706630894833171e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,2.0101214803848368e15,7.309168772218232e15,-4.3375049144507365e15,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,-7.564813214664664e15,9.584833456717603e13,-7.924405994829954e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-6.649877261244947e15,3.5748920220116615e15,-1.2385665334873285e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-6.748430522092808e14,-3.6118023816937895e15,7.906592112452203e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-4.231173249006952e15,-3.7557839672440045e15,-7.209249101556261e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-2.1978250924177898e15,3.172260403771019e15,-3.891400027116263e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-9.299719025521464e15,-5.372621034559252e15,-5.107441815934307e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,3.00014890743047e15,1.397244244590749e16,-6.853445791657331e15,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,-2.108182783136145e15,-6.436970004479559e15,1.3323629298739338e14,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-1.3504873340557728e15,-3.2499103767902595e15,7.335184534181475e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,5.503138150774711e15,1.965004079509363e15,8.851453134624646e14,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,-5.061111293701148e12,3.5748131014627305e15,8.814761241423059e14,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,-8.082464987324729e15,-7.200911289205298e15,-3.7644580546853375e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,1.4159873655193322e15,7.39962520023571e15,-5.58953568080134e15,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,-5.714674504719499e15,2.422874923050491e15,-1.96665792628551e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,5.581667680698892e15,1.543343960801737e15,5.610944098128681e15,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,3.8962360191418785e15,1.6223172249095248e15,-4.0375071534387865e15,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,4.600101011449699e15,3.4642305928220505e15,1.1781421783617402e16,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,1.9829870725586548e15,4.336046961857295e15,-5.910063496444776e15,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,-2.5075503732079766e14,-4.771085652293728e15,-6.123944625315846e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,9.199466638843024e15,-8.13113441823234e15,8.272337690671488e15,0.0,0.0,0.0,3.379048466644417e18,,,
particle,-5.552729945147761e15,-4.444244747628742e15,-5.794226294586618e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-7.777429486987355e14,-2.826095350241807e14,3.620242674159405e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-8.761805658812133e15,1.0943144124363985e15,-1.7931097138635375e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-3.348444296233465e14,5.272978930540427e15,7.187219264376119e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,1.1546149710527688e15,-5.0464991822161706e14,-5.44894822696068e15,0.0,0.0,0.0,3.379048466644417e18,,,
particle,8.236857814215144e15,3.760857936583677e15,-3.617914275986869e15,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,1.4776417475347018e15,2.861281758156618e15,7.201033287265018e14,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,9.311989654349476e15,1.9636486874248662e14,-2.6446184105104595e15,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,-4.731250394546246e15,6.783315850058206e14,-4.592115604224854e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-2.3053176120236015e15,-1.9727842001323272e15,-4.05850727000349e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-1.4687313957141725e15,-1.3664859151368658e15,-2.5193688880971025e14,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-4.497896741521724e15,-5.624430309907887e15,4.0737105438728635e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,5.144541179941861e15,-3.068450305184213e13,1.222563758875558e16,0.0,0.0,0.0,3.379048466644417e18,,,
particle,6.698943508757341e15,-1.6951701656967938e15,-5.580512342608098e15,0.0,0.0,0.0,3.379048466644417e18,,,
particle,3.280679208816433e15,1.2637658399157288e15,6.303022287560873e15,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,-1.8353231455335665e15,8.11371923820773e15,4.676515809543287e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-1.0029788920067156e16,-9.545927200549626e15,1.1175286311745698e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-9.732484637597586e15,-1.3845476541951102e14,1.0454345453414584e14,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-1.62724615412517e15,8.619013209068661e15,3.5476859715751385e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,2.8195683514142725e15,-1.335631708233525e16,-2.346356705152655e15,0.0,0.0,0.0,3.379048466644417e18,,,
particle,1.7048580076314278e15,9.0203931671464e15,2.2446685048496378e15,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,-1.2766295849465485e15,-1.2840216580003977e14,-4.673516578764996e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-5.364494798661756e15,-1.4366614674843675e15,2.3788471099422238e14,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,1.0708230135723594e15,-2.4576804366980835e15,6.760231486751298e15,0.0,0.0,0.0,3.379048466644417e18,,,
particle,7.383903904680258e14,-8.381746007183173e15,7.760776448468089e15,0.0,0.0,0.0,3.379048466644417e18,,,
particle,6.423850266253121e14,2.4292787596545915e15,2.9452096110556685e15,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,-7.838911090384542e14,9.470914810485128e14,3.749351628444867e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,2.3993908463804895e15,-4.1036121844333425e15,3.166112142569273e15,0.0,0.0,0.0,3.379048466644417e18,,,
particle,-1.6228786165899872e15,-1.0576293406687388e15,2.813289559907605e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,4.408928879693068e15,-4.677860988236598e15,3.5444056681449225e14,0.0,0.0,0.0,3.379048466644417e18,,,
particle,1.523907903183774e15,-4.735229602423704e15,-6.167517938163601e15,0.0,0.0,0.0,3.379048466644417e18,,,
particle,-3.694535044071705e15,-7.394787767787215e15,1.1178048313868412e16,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-8.270598306788432e15,2.166297601161208e15,-6.315219446822938e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-4.569059937911708e15,6.44545714870865e14,-3.0420840673300175e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,2.9789550264628695e15,-5.3843740387697694e14,-2.522207731488287e15,0.0,0.0,0.0,3.379048466644417e18,,,
particle,-5.944294909460829e15,7.942483189755831e13,-1.877685395956365e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,7.76349166584315e15,-5.506542783942605e15,1.4260161860124138e15,0.0,0.0,0.0,3.379048466644417e18,,,
particle,-4.647558175896452e15,8.973200805591735e15,-7.33828472580456e14,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-2.2011407799483838e15,-1.8909016662650258e15,4.1515654382890325e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,5.1013731177064606e14,-1.2117498700341168e16,-5.611978002171855e15,0.0,0.0,0.0,3.379048466644417e18,,,
particle,-1.7642900293990005e15,-1.597675257658086e15,-1.1821362335292584e16,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,8.189647126239346e15,-3.777758997431613e15,8.474143519541498e14,0.0,0.0,0.0,3.379048466644417e18,,,
particle,2.5967310241718295e15,1.3268137081949512e16,-5.805622885719535e15,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,1.8743404113751792e15,-4.923575668242013e15,-8.838011493233023e15,0.0,0.0,0.0,3.379048466644417e18,,,
particle,5.815181698178852e15,-1.986192559209009e15,4.598241007872598e15,0.0,0.0,0.0,3.379048466644417e18,,,
particle,3.8774187468650015e15,5.355984310908394e15,2.1425789256682268e15,-0.0,0.0,0.0,3.379048466644417e18,,,
particle,-2.1757158530284172e15,-3.26000066440701e15,1.4588502982946478e15,0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-5.582528769390651e15,2.6742260649463653e14,-6.635487016201188e15,-0.0,-0.0,0.0,3.379048466644417e18,,,
particle,-5.63156528051419e15,5.74242257343874e15,6.800568154741348e14,-0.0,-0.0,0.0,3.379048466644417e18,,,
