type,x,y,z,vx,vy,vz,K,rlin,rho_radial,constants
particle,-2.639546063754123e14,-6.236437323446691e14,6.867760213527538e14,4039.91639713898,-14968.738653726761,18245.877987086624,,,,
particle,-2.4738668341864178e14,8.194530906803131e13,-1.6682734676036378e14,20214.725578233694,-5993.128915219254,-18542.91105964168,,,,
particle,-6.324513572201604e13,-7.112612031636999e14,-2.5155611171858412e14,1813.4499977075013,9047.820060324142,8971.322710554194,,,,
particle,-4.595036183959192e14,-1.831401220510498e13,-7.742626479890042e13,-10331.886754475929,-18514.635799230273,4357.776278546905,,,,
particle,-5.144076239373653e13,-2.4761708459867944e14,-1.3855981691483245e14,-17697.68464584249,1436.5133000776189,3150.8650896550744,,,,
particle,-5.70393525535382e14,-1.426617658354519e14,-9.961285978645498e13,-266.44963640258595,23160.91271557299,-17947.412265356277,,,,
particle,5.852664565586475e14,4.243703866274682e14,1.0113286992802419e14,284.2012441051129,6776.259746986404,-17964.00253446001,,,,
particle,-4.038807699110968e14,-1.0656615324874844e14,-8.218354442898838e13,9104.914524220034,9864.943601549381,-613.133677705835,,,,
particle,-3.333719992754416e14,3.38198363631405e14,1.587771854847077e14,7751.219230642306,6405.594056115857,-4528.331480076554,,,,
particle,-2.653216103583864e14,-4.407891015836526e14,-5.367256256070714e14,10631.67985203211,10032.154282845413,-7043.666318849082,,,,
particle,1.984020325895859e14,-3.709733299972306e14,2.411442715969463e14,-12685.162238342511,3760.142696531621,3260.813921023072,,,,
particle,-1.4912073419442125e14,-1.0282081565892419e15,-1.6086950582277538e14,-12154.433003080447,31858.541693597963,-4233.328334758668,,,,
particle,3.26902400241546e14,-1.716731482084733e14,5.5303267336393075e14,28293.919217936473,3504.997278939951,18729.286382290837,,,,
particle,8.319369576330006e14,-5.729313158140238e14,2.7733328043136325e14,1783.5875921807594,12561.655428488853,12379.357839580252,,,,
