type,x,y,z,vx,vy,vz,K,rlin,rho_radial,constants
particle,-3.7676438526955e16,-1.7518854825610112e17,4.605387276555016e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,2.8575699277053332e16,-1.0513713268622714e17,6.2528043764733e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-3.246653592778758e16,1.2148129770356918e16,-1.3328380574259755e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-3.2064175950838876e16,1.5967745442861672e15,7.086155764843029e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,8.93857497698771e16,4.642103278285812e16,-1.27503195997037e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,5.2810680024789784e16,6.337900383224724e16,1.1231423765692378e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-9.112214672149832e16,-1.684188911226048e17,2.929384671712852e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-1.5679675461165917e17,-1.1546072651482952e17,-7.424569963386691e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-2.2627502866849754e17,1.0041620574586008e17,3.4904315108524864e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,6.176709240080039e15,-6.3730183335215896e16,-9.011752088373435e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-8.743620487526218e16,2.0203322598732242e15,-2.120012034963541e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,9.196883618608254e16,-5.421126174632893e16,-4.866494360868031e15,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,4.819501659093171e16,1.2184232930591885e17,-1.5771479283666614e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-4.113204446833057e16,1.3897865613710728e17,1.159929922889409e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,5.716137528588564e16,7.423927254779864e16,-1.1134613705247618e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,1.5734212887669866e17,1.1478549815525005e17,-1.373155040985532e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-8.564500546289972e15,6.787504688223254e16,2.6384964579646196e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-1.356098216857565e17,7.660161626559027e16,-1.3713635180409365e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-3.2009402135941604e16,-4.4815182283911464e16,3.891225322942045e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-8.941821170642582e15,-5.076864061801282e16,1.704473997170004e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-1.474822221861332e17,-1.0266272979812662e17,-8.289066977081861e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,-1.5605986318165235e17,-5.566996181044858e15,1.1129602333852976e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,1.415892195327971e17,-5.7838813669649256e16,7.344768535103936e15,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,2.455630148045434e17,-9.171298452382405e16,1.3693176039449246e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,1.6436141718483904e17,-1.0628392830899541e17,-4.179351684277189e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,7.134879985824976e16,1.2805840386961803e17,8.91437098026822e16,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,9.839438888138645e16,1.4002325840480774e17,-6.531049198115818e14,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,3.206774747621691e16,-2.5239002442613868e16,2.126330081534612e17,0.0,0.0,0.0,1.3516193866577672e21,,,
particle,1.2032897861366973e17,-1.3076484817312814e17,3.0165254749466376e16,0.0,0.0,0.0,1.3516193866577672e21,,,
