type,x,y,z,vx,vy,vz,K,rlin,rho_radial,constants
particle,5.617839939662866e15,2.496438687070989e16,-1.4543940563217278e16,-3.596882349028685e-5,8.094214139242402e-6,0.0,4.9629946098232345e19,,,
particle,-2.040599848364548e16,-2.9293184621766904e16,-2.408164250308561e16,3.573232862438837e-5,-2.4891586665677114e-5,0.0,4.9629946098232345e19,,,
particle,1.525108237463881e16,1.1406258413548616e16,4.272242964858062e16,-1.904961247184859e-5,2.5470859810436596e-5,0.0,4.9629946098232345e19,,,
particle,2.217360792269053e16,-1.839163002877127e16,1.9430190848857372e16,2.4974128559741894e-5,3.0109703926638922e-5,0.0,4.9629946098232345e19,,,
particle,-3.4733362667952585e15,-5.223979302831358e15,3.068954523299443e16,1.5201395614623439e-5,-1.010715311708012e-5,0.0,4.9629946098232345e19,,,
particle,-7.544565386491443e16,6.589090840254529e16,8.08577259023146e15,-4.79832840305669e-5,-5.4941270746423424e-5,0.0,4.9629946098232345e19,,,
particle,-1.8588355865210508e16,2.7206286216224372e16,1.4715981029115662e16,-3.454380766702967e-5,-2.3601625916557953e-5,0.0,4.9629946098232345e19,,,
particle,1.7396548286990068e16,1.5454441302278382e16,-1.7858896546394858e16,-2.335001032769062e-5,2.6284326571385075e-5,0.0,4.9629946098232345e19,,,
particle,1.6008315125719428e15,1.0535925337117277e17,2.1794558153615692e16,-7.4806714679701e-5,1.1366153648542178e-6,0.0,4.9629946098232345e19,,,
particle,-5.265966408981755e15,2.1047497782328996e16,-2.706780151206711e16,-3.2933460505601105e-5,-8.239767907215445e-6,0.0,4.9629946098232345e19,,,
particle,7.633595017829176e15,1.8207096442082765e15,-2.437944470228016e16,-4.736943030954435e-6,1.9860335686066132e-5,0.0,4.9629946098232345e19,,,
particle,-9.629597516600442e15,6.287404024173299e15,2.1355095113514028e16,-1.3512728489548206e-5,-2.069568556516592e-5,0.0,4.9629946098232345e19,,,
particle,3.71243478003687e14,5.1469592354450664e16,-5.772980983628907e16,-5.2287637300210505e-5,3.771439298420424e-7,0.0,4.9629946098232345e19,,,
particle,-6.298817672284683e15,3.950627269137208e16,4.891185296184875e15,-4.552362322069711e-5,-7.258214529349402e-6,0.0,4.9629946098232345e19,,,
particle,-3.004487061346288e16,1.6253752012230998e16,-4.895134275723316e16,-2.0268728387642143e-5,-3.746650751456509e-5,0.0,4.9629946098232345e19,,,
particle,-1.2671143514169586e16,2.079654154481464e16,2.1146989030625252e16,-3.0714740959724794e-5,-1.871421216179359e-5,0.0,4.9629946098232345e19,,,
particle,2.219337469024503e16,5.893349077498191e15,-8.533447554919239e14,-8.963583532758745e-6,3.375536817755832e-5,0.0,4.9629946098232345e19,,,
particle,-7.265357172459718e15,-2.622636466821068e16,-9.894140324508632e15,3.664125615319421e-5,-1.0150541890513028e-5,0.0,4.9629946098232345e19,,,
particle,3.5658760476695652e16,6.698664640883627e15,-1.0328115589973142e16,-8.105297824389592e-6,4.314664029427592e-5,0.0,4.9629946098232345e19,,,
particle,-8.021240847441152e15,5.926350576939463e15,-2.7179184796502036e16,-1.3677364281095773e-5,-1.851214025099323e-5,0.0,4.9629946098232345e19,,,
particle,-1.70805866901148e16,5.2281612449609576e16,1.920891576834872e16,-5.1379853219930184e-5,-1.6785978777801548e-5,0.0,4.9629946098232345e19,,,
particle,-6.450208901352442e15,-1.452117319265921e16,4.4159680103143144e16,2.655086693127869e-5,-1.1793719140085267e-5,0.0,4.9629946098232345e19,,,
particle,-2.859651756136981e15,-2.805018531019276e15,3.1877039575658372e16,1.0214688297379123e-5,-1.0413639341404886e-5,0.0,4.9629946098232345e19,,,
particle,-7.957042092592229e15,1.1606901782721328e16,-4.971787881359455e14,-2.2550713870992978e-5,-1.545950701130377e-5,0.0,4.9629946098232345e19,,,
particle,5.767205194584695e15,4.4775716165149085e15,-1.93077519921367e16,-1.2077334398868296e-5,1.5555857426151736e-5,0.0,4.9629946098232345e19,,,
particle,6.367105083626814e14,1.5379632544907466e16,4.5974493893817304e16,-2.857040217953571e-5,1.1828029858803034e-6,0.0,4.9629946098232345e19,,,
particle,5.274422474472252e16,-3.0119265207304668e16,2.7644514086564344e16,2.8167148255285893e-5,4.9325718531619755e-5,0.0,4.9629946098232345e19,,,
particle,3.3543284107756705e15,-2.5302766057625947e14,-9.629747541206778e15,1.005491633431998e-6,1.3329566993335424e-5,0.0,4.9629946098232345e19,,,
particle,-1.2760782795742985e15,8.408402908518142e15,-2.2472502466865344e16,-2.1014244317443595e-5,-3.1891693377337575e-6,0.0,4.9629946098232345e19,,,
